call,qso_date,time_off,freq,mode,rst_sent,comment,band,unknown
EV1P,20210227,1453,10.1,FT8,-8,OPR PA3EFR  ,30m,unknown
EW1MM,20210220,1003,14.178,SSB,59,OPR PA3EFR,20m,unknown
EW1MY,20210220,0854,7.0756,FT8,-12,Opr PD9HIX,40m,unknown
EW1P,20210222,1830,5.357,FT8,-11,OPR PA3EFR,60m,unknown
EW4M,20210226,1541,10.1,FT8,-3,OPR PA3EFR,30m,unknown
F0FWC,20210221,0914,144.175,FT8,-18,pe2pvd,2m,unknown
F1HSY,20210220,2200,3.5746,FT8,-22,Opr PD9HIX,80m,unknown
F1MXE,20210220,0831,7.0756,FT8,-04,Opr PD9HIX,40m,unknown
F1TXI,20210221,1947,3.5746,FT8,-01,Opr PD9HIX,80m,unknown
F2TPV,20210220,0947,7.088,SSB,unknown,bas,40m,unknown
F4AWT,20210228,0934,10.1,FT8,2,OPR PA3EFR,30m,unknown
F4GMM,20210222,1921,1.8412,FT8,-12,Opr PD9HIX,160m,unknown
F4GTB,20210220,2106,3.5746,FT8,-12,Opr PD9HIX,80m,unknown
F4GTB,20210222,2009,7.0756,FT8,-15,Opr PD9HIX,40m,unknown
F4IIX,20210222,1924,1.8412,FT8,-13,Opr PD9HIX,160m,unknown
F5BEG,20210226,1815,5.357,FT8,-10,OPR PA3EFR,60m,unknown
F5HNQ,20210220,2137,5.357,FT8,-13,OPR PA3EFR,60m,unknown
F5RRS,20210228,0953,10.1,FT8,-12,OPR PA3EFR,30m,unknown
F5SIZ,20210220,0754,3.5746,FT8,-09,Opr PD9HIX,80m,unknown
F5SIZ,20210220,0832,7.0756,FT8,+02,Opr PD9HIX,40m,unknown
F5UOU,20210222,1900,5.357,FT8,-15,OPR PA3EFR,60m,unknown
F6HMM,20210220,0929,7.097,SSB,unknown,bas,40m,unknown
F8AXO,20210222,1853,5.357,FT8,-6,OPR PA3EFR,60m,unknown
F8ETK,20210221,0915,3.69,FT8,59,Op PD9HIX,80m,unknown
G0UGO,20210220,0713,3.5746,FT8,+08,Opr PD9HIX,80m,unknown
G3WNS,20210220,2234,1253,ECHOLINK,unknown,OPR PA3EFR PD9HIX PB7TT,ECHOLINK,unknown
G4DBW,20210222,1824,5.357,FT8,-11,OPR PA3EFR,60m,unknown
G4LPP,20210222,1211,144.175,FT8,-12,pe2pvd,2m,unknown
G7BIV,20210220,2232,1250,ECHOLINK,unknown,OPR PA3EFR PD9HIX PB7TT,ECHOLINK,unknown
G7KLJ,20210220,1304,3.62,SSB,59,OPR PA3EFR,80m,unknown
GB0GGR,20210220,2300,1253,ECHOLINK,unknown,OPR PA3EFR PB7TT  ,ECHOLINK,unknown
GM4EIW,20210220,1103,7.09,SSB,unknown,bas,40m,unknown
GW0UIM,20210220,2256,1253,ECHOLINK,unknown,OPR PA3EFR PB7TT,ECHOLINK,unknown
HA0HH,20210227,1457,10.1,FT8,unknown,OPR PA3EFR,30m,unknown
HA3PT,20210228,0938,10.1,FT8,-5,OPR PA3EFR,30m,unknown
HA5DI,20210226,1840,5.357,FT8,-6,OPR PA3EFR,60m,unknown
HA7JO,20210218,2107,5.357,FT8,-2,OPR PA3EFR,60m,unknown
HB9BIN,20210220,2115,3.5746,FT8,+08,Opr PD9HIX,80m,unknown
HB9BIN,20210222,1825,5.357,FT8,-4,OPR PA3EFR,60m,unknown
HB9BIN,20210222,1805,7.07497,FT8,-09,pe2pvd,40m,unknown
HB9SZV,20210220,2119,3.5746,FT8,-17,Opr PD9HIX,80m,unknown
HB9ZAT,20210220,0957,7,SSB,unknown,bas,40m,unknown
HF7X,20210226,1826,5.357,FT8,-5,OPR PA3EFR,60m,unknown
HF7X,20210227,1548,10.1,FT8,-12,OPR PA3EFR,30m,unknown
HG3FMZ,20210227,1509,10.1,FT8,-9,OPR PA3EFR,30m,unknown
HG8LXL,20210220,2030,7.0756,FT8,-12,Opr PD9HIX,40m,unknown
HG8LXL,20210220,2229,3.5746,FT8,-06,Opr PD9HIX,80m,unknown
I4WQH,20210220,0821,7.0756,FT8,+15,Opr PD9HIX,40m,unknown
IK0ADR,20210220,2044,7.0756,FT8,-13,Opr PD9HIX,40m,unknown
IK1BOW,20210220,2045,7.0756,FT8,-14,Opr PD9HIX,40m,unknown
IK1GPG,20210226,1814,5.357,FT8,unknown,OPR PA3EFR,60m,unknown
IK1RQQ,20210220,0936,7.088,SSB,unknown,op bas,40m,unknown
IK1XLA,20210220,0910,7.0756,FT8,+01,Opr PD9HIX,40m,unknown
IK2IZK,20210220,0903,7.0756,FT8,-03,Opr PD9HIX,40m,unknown
IK2JTS,20210220,0935,7.088,SSB,unknown,bas,40m,unknown
IK3TJO,20210220,0934,7.088,SSB,unknown,bas,40m,unknown
IK4LZH,20210222,1947,7.07631,FT8,-18,pe2pvd,40m,unknown
IK6DLK,20210222,1816,7.07497,FT8,-07,pe2pvd,40m,unknown
IK8OZZ,20210227,1450,10.1,FT8,-1,OPR PA3EFR,30m,unknown
IN3OWY,20210220,0732,3.5746,FT8,-05,Opr PD9HIX,80m,unknown
IN3QCI,20210220,0936,7.088,SSB,unknown,bas,40m,unknown
IS0AEL,20210226,1801,10.1,FT8,-12,OPR PA3EFR,30m,unknown
IS0GFT,20210228,1639,14.0756,FT8,+05,Opr PD9HIX,20m,unknown
IS0SLM,20210222,1957,7.0756,FT8,+08,Opr PD9HIX,40m,unknown
IS0SLM,20210222,1957,7.07631,FT8,-04,pe2pvd,40m,unknown
